# This rule base block traffic comming from Indonesia and allowes everything else.
# prot  s_msk	d_msk	ACT	s_prt	d_prt		s_ip			d_ip

0	16	0	0	0	0		21540			0
0	22	0	0	0	0		274993			0
0	22	0	0	0	0		537137			0
0	22	0	0	0	0		64871			0
0	20	0	0	0	0		11569262		0
0	16	0	0	0	0		35694			0
0	16	0	0	0	0		24431			0
0	24	0	0	0	0		1199986			0
0	21	0	0	0	0		2624628			0
0	21	0	0	0	0		13124212		0
0	21	0	0	0	0		6356596			0
0	15	0	0	0	0		24694			0
0	24	0	0	0	0		4484727			0
0	20	0	0	0	0		1108855			0
0	24	0	0	0	0		10681463		0
0	11	0	0	0	0		41080			0
0	22	0	0	0	0		2360956			0
0	24	0	0	0	0		8176508			0
0	19	0	0	0	0		4236413			0
0	18	0	0	0	0		8430973			0
0	14	0	0	0	0		49291			0
0	17	0	0	0	0		8450484			0
0	16	0	0	0	0		62132			0
0	18	0	0	0	0		8452276			0
0	16	0	0	0	0		63924			0
0	18	0	0	0	0		64436			0
0	19	0	0	0	0		14794			0
0	18	0	0	0	0		12616395		0
0	0	0	1	0	0		0			0
255	0	0	0	0	0		0			0
